variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
Caturra,Ethiopia,Washed / Wet,2014,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,0.12,231
Other,Ethiopia,Washed / Wet,2014,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,231
Bourbon,Guatemala,Washed / Wet,2012,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,0.0,320
Caturra,Ethiopia,Natural / Dry,2014,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,0.11,231
Other,Ethiopia,Washed / Wet,2014,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,231
Caturra,Brazil,Natural / Dry,2013,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,0.11,076
Other,Peru,Washed / Wet,2012,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,0.11,604
Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,0.03,231
Caturra,Ethiopia,Washed / Wet,Mar-10,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,0.03,231
Other,Ethiopia,Natural / Dry,2014,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,0.1,231
Caturra,Ethiopia,Natural / Dry,2014,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,0.1,231
Other,United States,Washed / Wet,2014,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,840
Other,United States,Washed / Wet,2014,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0.0,840
Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,0.05,231
Other,United States,Washed / Wet,2014,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0.0,840
Caturra,Indonesia,Washed / Wet,2012,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,0.03,360
Caturra,Ethiopia,Washed / Wet,2010,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,0.05,231
Catimor,China,Washed / Wet,2015,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,156
Ethiopian Yirgacheffe,Ethiopia,Natural / Dry,2014,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0.0,231
Other,United States,Washed / Wet,2014,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,840
Caturra,Costa Rica,Washed / Wet,2014,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,188
Other,Mexico,Washed / Wet,2012,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,484
Other,United States,Washed / Wet,2014,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,0.0,840
Caturra,Ethiopia,Natural / Dry,2013,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,0.11,231
Bourbon,Brazil,Natural / Dry,2011,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,076
Caturra,Ethiopia,Washed / Wet,2010,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,0.05,231
SL14,Uganda,Washed / Wet,2013,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,800
Caturra,Honduras,Washed / Wet,2016,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,0.1,340
Caturra,Nicaragua,Washed / Wet,2012,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,0.08,558
Bourbon,Brazil,Natural / Dry,2011,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,076
Caturra,Costa Rica,Washed / Wet,2016,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,188
Caturra,Ethiopia,Natural / Dry,2014,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.1,231
